,crime,sentenceYears,education,age
0,Robo,6,Secundaria,28
1,Homicidio,40,Primaria,35
2,Violacion,36,Primaria,39
3,Violencia Familiar,8,Primaria,32
4,Robo,8,Preparatoria,25
5,Homicidio,28,Secundaria,40
6,Robo,45,Secundaria,36
7,Homicidio,25,Primaria,0
8,Violacion,17,Secundaria,41
9,Homicidio,19,Secundaria,54
10,Homicidio,25,Ningún estudio,47
11,Robo,2,Primaria,31
12,Homicidio,15,Secundaria,22
13,Robo,1,Secundaria,0
14,Violencia Familiar,4,Secundaria,31
15,pension alimenticia,1,Secundaria,35
16,Homicidio,25,Secundaria,34
17,Homicidio,25,Técnico,33
18,Violacion,15,Secundaria,39
19,Robo,4,Primaria trunca,23
20,Robo,6,Secundaria trunca,31
21,Robo,,Primaria trunca,26
22,Drogas y Armas,2,Primaria,48
23,Violacion,,Primaria,39
24,Armas y Drogas,11,No contestó,23
25,Violacion,15,Primaria trunca,30
26,Homicidio,25,Primaria,48
27,Robo,8,Preparatoria,52
28,Homicidio,1,Secundaria trunca,30
29,Contra la salud,5,Licenciatura/profesional,47
30,,,Secundaria trunca,0
31,Robo,8,Preparatoria trunca,26
32,Violencia Familiar,2,Primaria,41
33,Homicidio,7,Secundaria trunca,43
34,Robo,16,Secundaria,24
35,Robo,3,Secundaria,0
36,Armas,6,Secundaria trunca,22
37,Robo,,Secundaria,22
38,Secuestro,4,Secundaria,25
39,leciones y Robo,3,Secundaria,42
40,Homicidio,12,Secundaria,47
41,Robo,8,Secundaria,26
42,Robo,27,Primaria trunca,24
43,Robo,10,Secundaria,23
44,accidente,6,Primaria,33
45,Robo,18,Ningún estudio,27
46,Homicidio,16,Secundaria,27
47,,,Primaria,45
48,Homicidio,25,Primaria,38
49,,,Primaria,18
50,Robo,,Primaria,25
51,Homicidio,31,Primaria,42
52,Chantaje,,Secundaria,33
53,Homicidio,25,Primaria,23
54,Robo,7,Técnico,36
55,Robo,2,Secundaria,53
56,Robo,9,Preparatoria,44
57,Robo,8,Secundaria,50
58,Robo,,Secundaria,26
59,Homicidio,25,Primaria,44
60,Robo,8,Licenciatura/profesional,32
61,Robo,11,Secundaria,31
62,Robo,50,Primaria,30
63,Robo,,Primaria,21
64,Homicidio,6,Ningún estudio,19
65,Robo,,Secundaria,42
66,Robo,,Primaria,36
67,Secuestro,35,Primaria,39
68,Contra la salud,3,Secundaria,34
69,Robo,,Secundaria trunca,35
70,Contra la salud,8,Técnico,44
71,Homicidio,25,Secundaria,26
72,Federal,12,Preparatoria trunca,38
73,,,No contestó,0
74,Homicidio,,Secundaria,40
75,Robo,15,Primaria,32
76,Contra la salud,8,Secundaria,34
77,privacion de la libertad,,Secundaria trunca,47
78,Narcomenudeo,13,Preparatoria,38
79,Homicidio,15,No contestó,30
80,Violacion,5,Primaria,45
81,Robo,3,Secundaria,36
82,chantaje,8,Secundaria,21
83,Lesiones,7,Secundaria,40
84,chantaje,8,No contestó,29
85,Violacion,10,Secundaria,37
86,Secuestro,20,Licenciatura/profesional,48
87,Robo,5,Secundaria trunca,40
88,,28,Secundaria,50
89,Robo,5,Secundaria,45
90,Robo,50,Secundaria,28
91,Homicidio,13,Licenciatura/profesional,47
92,Chantaje,,No contestó,0
93,delicuencia organizada,7,Preparatoria,32
94,Robo,4,Primaria,39
95,Robo,7,Secundaria trunca,23
96,Robo,11,Secundaria,32
97,Secuestro,,Secundaria trunca,23
98,Robo,9,Secundaria trunca,33
99,Contra la salud,7,Secundaria,27
100,chantaje,8,Secundaria,23
101,Empapelado,,Primaria,30
102,Homicidio,,Primaria,28
103,Robo,,Secundaria trunca,33
104,Contra la salud,5,Primaria,26
105,,,,99
106,Robo,15,Secundaria,35
107,Robo,19,,41
108,Homicidio,25,Primaria,22
109,Robo,3,Preparatoria,25
110,Robo,3,Secundaria trunca,31
111,Homicidio,25,Primaria trunca,43
112,Robo,6,Preparatoria,25
113,secuestro,,Secundaria,36
114,Homicidio,35,Licenciatura/profesional,50
115,Robo,11,Primaria,34
116,Homicidio,30,Primaria,39
117,Robo,5,Primaria,27
118,Lesiones,4,Primaria,26
119,Homicidio,15,Secundaria,31
120,Homicidio,28,Primaria,26
121,privacion de la libertad,,Secundaria,23
122,Homicidio,70,Preparatoria trunca,23
123,Robo,30,Secundaria trunca,50
124,Robo,9,Secundaria,46
125,Robo,3,Secundaria,24
126,Homicidio,,Secundaria,27
127,Robo,4,Secundaria,26
128,Drogas,10,Secundaria,38
129,Robo,,Preparatoria,34
130,Armas,8,Secundaria,36
131,Robo,,Secundaria trunca,28
132,Homicidio,,Primaria,22
133,secuestro,,Primaria trunca,38
134,Robo,5,Primaria,27
135,Robo,11,Secundaria,34
136,Robo,7,Secundaria trunca,22
137,Armas,10,Primaria trunca,37
138,Homicidio,25,Secundaria,41
139,Armas,,Secundaria,31
140,Contra la salud,3,Primaria,28
141,Robo,,Primaria,23
